# Wizidagiha i zadspram (WZ-K35-outdated)
# Manuscript: K35
# Text identifier: WZ-K35-outdated
# Text UUID: 7adbb5bd-006f-4f33-83a8-75e650cf2435
# Source: https://www.mpcorpus.org/corpus/sections/7adbb5bd-006f-4f33-83a8-75e650cf2435
# API: https://www.mpcorpus.org/api/sections/?text_identifier=WZ-K35-outdated&type=sentence
# Exported from MPCD public API on 2026-05-26
# Paragraph source: MPCD left sidebar section_type=section
# Format: sentence_identifier<TAB>paragraph<TAB>transcription tokens

WZ-K35-outdated s1	wz 0.1	ēn ayādgār nibištag ī wizīdagīhā ī zādspram ī ǰuwānǰamān xwānēnd
WZ-K35-outdated s2	wz 0.2	šnāyišn ī dādār ohrmazd ud amahraspandān ud hamāg yazdān ī mēnōyān ud yazdān ī gētīyān
WZ-K35-outdated s3	wz 0.3	gōwišn ī hērbed zādspram ī ǰuwānǰamān ī nēmrōz
WZ-K35-outdated s4	wz 1.–	abar gumēzišn ī spennāgmēnōy ud gannāgmēnōy
WZ-K35-outdated s5	wz 1.1	hād pad dēn ōwōn paydāg kū rōšnīh azabar ud tārīkīh azēr u =šān mayānag ī harw dō wišādagīh būd
WZ-K35-outdated s6	wz 1.2	ohrmazd andar rōšnīh ahreman andar tārīkīh ud ohrmazd az astīh ī ahreman madan =iz ō pahikār āgāh
WZ-K35-outdated s7	wz 1.2	ahreman az astīh ud rōšnīh ī ohrmazd nē āgāh būd
WZ-K35-outdated s8	wz 1.3	ahreman andar tom ud tārīkīh ō frōd kustān hamē raft
WZ-K35-outdated s9	wz 1.3	did handāzišnīg ul ō abar āmad u =š tēx =ēw ī rōšnīh frāz dīd ud ǰudgōhrīh ī xwēš rāy tuxšīd kū aw =iš rasēd u =š hamōwōn pad =iš andar kāmag wārēd čiyōn pad =iz tārān
WZ-K35-outdated s10	wz 1.4	ka frāz ō wimand mad ohrmazd abāz dāštan ī ahreman az xwēš šahr rāy frāz ō hamrānīh mad u =š pad abēzag gōwišn ī dādīg stardag kird u =š abāz ō tom abgand
WZ-K35-outdated s11	wz 1.4	pāsbānīh az druz rāy mēnōyīhā andar ō bālist mēnōy ī āsmān āb zamīg urwar gōspand mardōm ud ātaxš brēhēnīd u =š 3000 sāl dāšt
WZ-K35-outdated s12	wz 1.5	ahreman =iz andar tom abzār hamē ārāst
WZ-K35-outdated s13	wz 1.5	pad sar ī 3000 sāl abāz ō wimand āmad padistād ud drāyīd kū zanam tō zanam dāmān ī tō dāmdād ī mēnōy ī tō kē spennāgmēnōy hē harwisp ān bē murnǰēnam
WZ-K35-outdated s14	wz 1.6	ohrmazd passoxēnīd kū nē druz harwispkirdār hē
WZ-K35-outdated s15	wz 1.7	did ahreman padistād kū bē hāzēm$$ harwisp ox ī astōmand ō adōstīh ī tō dōstīh ī man
WZ-K35-outdated s16	wz 1.8	ohrmazd pad mēnōyxradīh dīd kū ān =iz ī ahreman padistād tuwānīg pad kirdan agar nē brīnōmand zamānag ī kōxšišn
WZ-K35-outdated s17	wz 1.9	u =š zamān bē ō ayārīh xwāst čē =š dīd kū ahreman pad mayānǰīgīh ī ēč nērawišnīh abar ēstēd
WZ-K35-outdated s18	wz 1.9	zamān ast harw dō xūb hamayārīh ud rāstrāyēnīdārīh
WZ-K35-outdated s19	wz 1.9	aw =iš niyāz
WZ-K35-outdated s20	wz 1.10	u =š pad se zamān kird ī harw zamān =ēw se hazārag
WZ-K35-outdated s21	wz 1.11	ahreman abar ēstād
WZ-K35-outdated s22	wz 1.12	ohrmazd dīd kū ka ahreman parwastag kirdan nē šāyēd hamē ka xwāhēd abāz ō xwēš buništ ī tārīkīh šawēd
WZ-K35-outdated s23	wz 1.12	abzār wēš ārāyēd afrazāmpahikār bawēd
WZ-K35-outdated s24	wz 1.12	u =š pas az zamān kirdan ahunawar frāz srūd
WZ-K35-outdated s25	wz 1.13	u =š pad ahunawar se ēwēnag aw =iš nimūd
WZ-K35-outdated s26	wz 1.14	fradom kū harw tis ān frārōn ī ohrmazd kām
WZ-K35-outdated s27	wz 1.15	az ēn paydāg kū ka ān ī frārōn ohrmazd kām paydāg kū tis ast ī nē andar kām ī ohrmazd
WZ-K35-outdated s28	wz 1.15	ačār ān az buništ =ēw ī ǰudgōhr
WZ-K35-outdated s29	wz 1.16	didīgar ēn kū kē ān kunēd ī ohrmazd kām ā =š mizd pāddāšn xwēš ōy kē nē ān kunēd ī ohrmazd kām ā =š puhl pādifrāh xwēš
WZ-K35-outdated s30	wz 1.17	az ēn nimāyīhēd kirbakkarān mizd ud wināhkārān pādifrāh ud mādayān ī wahišt ud dušox aziš
WZ-K35-outdated s31	wz 1.18	sidīgar nimūd kū xwadāyīh ī ohrmazd ōy abzāyēnēd ī ō driyōšān wizārēd petyāragōmandīh
WZ-K35-outdated s32	wz 1.19	ī =š nimūd kū astxīrān ō niyāzīgxīrān ayār bawišn čiyōn āgāhdahišnān ō anāgāhān hammōxtan tuwānīgxwāstagān ō niyāzīgxwāstagān rādīhā dādan ī xwēš
WZ-K35-outdated s33	wz 1.19	frayād dast ī ohrmazd dāmān ēk ō did andar kōxšišnīg ardīg
WZ-K35-outdated s34	wz 1.20	čiyōn frašegirdkirdārīh pad ēn se tis šāyēd būdan
WZ-K35-outdated s35	wz 1.21	ast fradom rāstdēnīh ī xwad āstawānīh ī abar dōbuništagīh pad ān ristag brahm kū ohrmazd hamāgwehīh awattarīh u =š kām wisp frārōn ahreman wispwattarīh awehīh
WZ-K35-outdated s36	wz 1.22	didīgar ēmēd ī mizd pāddāšn ī kirbakkarān ud bīm ī az puhl pādifrāh ī bazzakkarān tuxšīdan pad kirbag pahrēxtan ī az wināh
WZ-K35-outdated s37	wz 1.23	sidīgar hamayārīh būdan ī dāmān ēk abāg did ud az hamayārīh hamspāhīh az hamspāhīh pērōzīh ī abar dušmen bawēd ī xwad frašegird
WZ-K35-outdated s38	wz 1.24	pad ēn gōwišn stard būd abāz ō tom ōbast
WZ-K35-outdated s39	wz 1.25	ohrmazd dām tanōmandīhā bē ō gētī būd
WZ-K35-outdated s40	wz 1.25	fradom asmān didīgar āb sidīgar zamīg čahārom urwar panǰom gōspand šašom mardōm
WZ-K35-outdated s41	wz 1.25	ud ātaxš andar wisp būd pargandag hammis pad šaš gōhrag ī harw gōhrag =ēw drang ī bē abar dādan and būd guft ēstēd čand miǰ =ēw ī ka ēk pad did frōd nihēnd
WZ-K35-outdated s42	wz 1.26	3000 sāl dām tanōmand ud afrāzraftār būd
WZ-K35-outdated s43	wz 1.26	xwaršēd māh starān ēstād hēnd andar bālist awazišnīg
WZ-K35-outdated s44	wz 1.27	pad zamānag sar ohrmazd nigerīd kū čē sūd ast az dādan ī dām ka apōyišnīg arawišnīg awazišnīg
WZ-K35-outdated s45	wz 1.27	u =š pad ayārīh ī spyyhl ud zurwān dām frāz brēhēnīd
WZ-K35-outdated s46	wz 1.28	zurwān anādūg būd kū =š dām ī ohrmazd rawāg kird bē az rawāgīh ī ahreman dām
WZ-K35-outdated s47	wz 1.28	čē buništān ēk ō did wizāyišnīg ud padīragēstišnīg būd hēnd
WZ-K35-outdated s48	wz 1.29	u =š frazāmnigerīhā abzār =ēw ī az xwad gōhr ī tārīkīh kē =š nērōg ī zurwānīg pad =iš paywastag pōst ēwēnag ī wazagīg ud syā ud ādurestargōn frāz ō ahreman burd
WZ-K35-outdated s49	wz 1.30	u =š pad frāzbarišnīh guft kū pad awēšān zēy abāgīh ā =iz ēd ī tō bē dawīd xwad pad suy frōd mīrēd agar pad sar ī 9000 sāl čiyōn =it padistād ud pašt abar kird zamān abar kird nē frazāmēnēd
WZ-K35-outdated s50	wz 1.31	pad hamzamān ahreman az hamzōrān hammis bē ō starpāyag āmad
WZ-K35-outdated s51	wz 1.32	bun ī asmān pad starpāyag dāšt az ānōh frōd ō tuhīgīh āhaxt ī andarōn ī buništ ī rōšnān ud tārān ud gyāg ī ardīg kē =š tazišn ī harw dōān padiš
WZ-K35-outdated s52	wz 1.33	u =š tārīkīh ī abāg xwēš dāšt andar ō asmān āwurd asmān ōwōn ō tom āhaxt kū andarōn ī aškōb ī asmān čand se ēk =ēw azabar starpāyag bē rasīd
WZ-K35-outdated s53	wz 2.–	abar andar āmadan ī ahreman ō dām
WZ-K35-outdated s54	wz 2.1	pad dēn ōwōn paydāg kū māh frawardīn rōz ohrmazd pad nēmrōz frāz ō wimand ī asmān mad
WZ-K35-outdated s55	wz 2.2	asmān ǰudgōhrīh rāy ōwōn bē tarsīd čiyōn mēš az gurg larzēd
WZ-K35-outdated s56	wz 2.2	ahreman tābišnīg ud sōzišnīg pad =iš abar āmad
WZ-K35-outdated s57	wz 2.3	pas ō āb mad ī azēr zamīg winnārd u =š tārīkīh ud ǰudmizagīh abar burd
WZ-K35-outdated s58	wz 2.4	ud mayān ī zamīg abar āmad
WZ-K35-outdated s59	wz 2.5	čiyōn mār homānāg ī az sūrāg =ēw abar āyēd ud hamāg zamīg zūd andar ēstād
WZ-K35-outdated s60	wz 2.5	ud ān widarg kū abar āmad xwad ast rāh ī ō dušox kē pad ān dwārēnd dēwān druwandān
WZ-K35-outdated s61	wz 2.6	pas ō urwar mad
WZ-K35-outdated s62	wz 2.7	čiyōn ēk bun būd kē =š bālā čand pay =ēw ud anazg apōstag ud tarr ud šīrēn
WZ-K35-outdated s63	wz 2.7	u =š wisp sardag zōr ī urwarān andar čihr dāšt
WZ-K35-outdated s64	wz 2.7	ud pad nazdīkīh ī mayānag ī zamīg būd
WZ-K35-outdated s65	wz 2.7	pad ham zamān bē hōšīd
WZ-K35-outdated s66	wz 2.8	pas ō gāw mad ī ēkdād
WZ-K35-outdated s67	wz 2.9	čiyōn =iš bālā čiyōn gayōmart pad bār ī āb ī dāytī mayānag ī zamīg ēstād
WZ-K35-outdated s68	wz 2.9	u =š az gayōmart dūrīh čand bālā ī xwēš būd az =iz bār ī āb ī dāytī pad ham paymān dūr būd
WZ-K35-outdated s69	wz 2.9	ud māyag spēd ud rōšn būd čiyōn māh
WZ-K35-outdated s70	wz 2.9	čiyōn petyārag abar mad ohrmazd mang ī bang =iz xwānīhēd pad xwardan dād ud pēš čašm bē mušt kū tā =š az zanišn ud bazzag handraxtagīh kem bawēd
WZ-K35-outdated s71	wz 2.9	nizār ud wēmār būd
WZ-K35-outdated s72	wz 2.9	pad dašn ālag ōbast ud widard
